<document id="hi">
<head>
<title>  </title>			
<author>			
<firstname>  </firstname>			
<middlename>    </middlename>			
<lastname></lastname>			
</author>			
<availability format="electronic" />			
<bibl>			
</bibl>			
<bytecount>8.0K</bytecount>			
<domain name="general" />			
<creation creationdate="19/06/2007" institutename="IIIT Hyderabad">			
<creatorname>			
<lastname>Dipti</lastname>			
<middlename>			
</middlename>			
<firstname>Sharma</firstname>			
</creatorname>			
</creation>			
<distributor>CLIA Consortia, DIT</distributor>			
<edition number="1.0" />			
<encodingdesc>			
<newencoding>Unicode(UTF-8)</newencoding>			
<originalencoding>UTF-8</originalencoding>			
</encodingdesc>			
<sentencemarker marker=".">Specify Marker</sentencemarker>			
<language name="hi" writingsystem="LTR" script="Devanagari" />			
<normalization normalized="no">			
<utilityname>xxx.exe</utilityname>			
</normalization>			
<projectdesc name="ILMT" />			
<pubaddress addresstype="web">			
</pubaddress>			
<pubdate>			
<dateofpublication></dateofpublication>			
</pubdate>			
<publicationstmt type="copyrightfree">			
</publicationstmt>			
<publisher>			
<name></name>			
<url>xxx.com</url>			
</publisher>			
<pubplace place="books" />			
<wordcount>10  </wordcount>			
<caption>एन.एन.वोहरा का इस्तीफा हुर्रियत कांफ्रेंस ने पाटिल के बयान का स्वागत किया एजेंसियां नई दिल्ली/श्रीनगर। </caption>			
</caption>			

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id='1'>
1	((	NP	<fs drel='k7p:VGF' name='NP'>
1.1	कश्मीर	NNP	<fs af='कशमीर,n,m,sg,3,o,0,0' name='कश्मीर' posn='10'>
1.2	पर	PSP	<fs af='पर,psp,,,,,,' name='पर' posn='20'>
	))
2	((	NP	<fs drel='r6:NP3' name='NP2'>
2.1	केंद्र	NNP	<fs af='केंद्र,n,m,sg,3,o,0,0' name='केंद्र' posn='30'>
2.2	के	PSP	<fs af='का,psp,m,sg,,o,,' name='के' posn='40'>
	))
3	((	NP	<fs drel='nmod:NP4' name='NP3'>
3.1	वार्ताकार	NN	<fs af='वार्ताकार,n,m,sg,3,o,0,0' name='वार्ताकार' posn='50'>
	))
4	((	NP	<fs drel='k1:VGF' name='NP4'>
4.1	एन.	NNPC	<fs af='एन.,n,m,sg,3,d,0,0' name='एन.' posn='60'>
4.2	एन.	NNPC	<fs af='एन.,n,m,sg,3,d,0,0' name='एन.2' posn='70'>
4.3	वोहरा	NNP	<fs af='वोहरा,n,m,sg,3,o,0,0' name='वोहरा' posn='80'>
4.4	ने	PSP	<fs af='ने,psp,,,,,,' name='ने' posn='90'>
	))
5	((	NP	<fs drel='r6:NP6' name='NP5'>
5.1	अपने	PRP	<fs af='अपना,pn,m,any,any,o,0,0' name='अपने' posn='100'>
	))
6	((	NP	<fs drel='k5:VGF' name='NP6'>
6.1	पद	NN	<fs af='पद,n,m,sg,3,o,0,0' name='पद' posn='110'>
6.2	से	PSP	<fs af='से,psp,,,,,,' name='से' posn='120'>
	))
7	((	NP	<fs drel='k2:VGF' name='NP7'>
7.1	इस्तीफा	NN	<fs af='इस्तीफा,n,m,sg,3,d,0,0' name='इस्तीफा' posn='130'>
	))
8	((	VGF	<fs voicetype='active' stype='declarative' name='VGF'>
8.1	दे	VM	<fs af='दे,v,any,any,any,,0,0' name='दे' posn='140'>
8.2	दिया	VAUX	<fs af='दे,v,m,sg,any,,या,yA' name='दिया' posn='150'>
8.3	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' name='है' posn='160'>
8.4	।	SYM	<fs af='।,punc,,,,,,' name='।' posn='170'>
	))
</Sentence>

<Sentence id='2'>
1	((	NP	<fs drel='k1:VGF' name='NP'>
1.1	सूत्रों	NN	<fs af='सूत्र,n,m,pl,3,o,0,0' name='सूत्रों' posn='10'>
1.2	ने	PSP	<fs af='ने,psp,,,,,,' name='ने' posn='20'>
	))
2	((	VGF	<fs voicetype='active' stype='declarative' name='VGF'>
2.1	बताया	VM	<fs af='बता,v,m,sg,any,,या,yA' name='बताया' posn='30'>
	))
3	((	CCP	<fs drel='k2:VGF' name='CCP'>
3.1	कि	CC	<fs af='कि,avy,,,,,,' name='कि' posn='40'>
	))
4	((	NP	<fs drel='k1:VGF2' name='NP2'>
4.1	वोहरा	NNP	<fs af='वोहरा,n,m,sg,3,o,0,0' name='वोहरा' posn='50'>
4.2	ने	PSP	<fs af='ने,psp,,,,,,' name='ने2' posn='60'>
	))
5	((	NP	<fs drel='r6:NP4' name='NP3'>
5.1	अपना	PRP	<fs af='अपना,pn,m,sg,any,d,0,0' name='अपना' posn='70'>
	))
6	((	NP	<fs drel='k2:VGF2' name='NP4'>
6.1	इस्तीफा	NN	<fs af='इस्तीफा,n,m,sg,3,d,0,0' name='इस्तीफा' posn='80'>
	))
7	((	NP	<fs drel='r6-k2:NP6' name='NP5'>
7.1	नई	JJ	<fs af='नया,adj,f,sg,,o,,' name='नई' posn='90'>
7.2	सरकार	NN	<fs af='सरकार,n,f,sg,3,o,0,0' name='सरकार' posn='100'>
7.3	के	PSP	<fs af='का,psp,m,sg,,o,,' name='के' posn='110'>
	))
8	((	NP	<fs drel='pof:VGNN' name='NP6'>
8.1	शपथ	NNC	<fs af='शपथ,n,f,sg,3,d,0,0' name='शपथ' posn='120'>
8.2	ग्रहण	NN	<fs af='ग्रहण,n,m,sg,3,d,0,0' name='ग्रहण' posn='130'>
	))
